"Product";"Seller";"Authority";"Comp_size";"Competitors";"Purch_dept";"Partnership";"Budgt_alloc";"Forml_tend";"RFI";"RFP";"Growth";"Posit_statm";"Source";"Client";"Scope";"Strat_deal";"Cross_sale";"Up_sale";"Deal_type";"Needs_def";"Att_t_client";"Status"
"Product A";"Seller 6";"Mid";"Mid";"No";"Unknown";"No";"Yes";"No";"Yes";"Yes";"Growth";"Neutral";"Referral";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 8";"Mid";"Big";"No";"Yes";"No";"Unknown";"No";"No";"Yes";"Stable";"Yes";"Referral";"Current";"Clear";"Unimportant";"No";"Yes";"Maintenance";"Yes";"Strategic account";"Won"
"Product F";"Seller 1";"Mid";"Big";"No";"No";"Yes";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Few questions";"Average important";"Yes";"No";"Project";"Info gathering";"Strategic account";"Won"
"Product B";"Seller 8";"Mid";"Big";"No";"Yes";"No";"No";"No";"No";"No";"Growth";"Yes";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Maintenance";"Yes";"Strategic account";"Won"
"Product C";"Seller 1";"Mid";"Small";"Unknown";"No";"No";"No";"No";"No";"No";"Stable";"Neutral";"Unknown";"New";"Few questions";"Average important";"No";"No";"Project";"No";"Normal";"Won"
"Product B";"Seller 20";"Mid";"Big";"Unknown";"Unknown";"No";"No";"No";"No";"No";"Growth";"Yes";"Referral";"New";"Clear";"Very important";"No";"No";"Project";"Yes";"First deal";"Lost"
"Product B";"Seller 1";"Mid";"Mid";"Yes";"Unknown";"Yes";"Unknown";"No";"No";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Very important";"No";"No";"Project";"Yes";"First deal";"Won"
"Product I";"Seller 1";"Mid";"Small";"No";"No";"No";"No";"No";"No";"Yes";"Growth";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Maintenance";"Yes";"Normal";"Won"
"Product D";"Seller 2";"Low";"Big";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Maintenance";"Yes";"Normal";"Won"
"Product C";"Seller 12";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product E";"Seller 1";"Mid";"Small";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product B";"Seller 1";"High";"Small";"Unknown";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Event";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"First deal";"Won"
"Product A";"Seller 4";"High";"Big";"No";"No";"No";"Yes";"Yes";"No";"No";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product A";"Seller 4";"High";"Big";"No";"No";"No";"Yes";"Yes";"No";"No";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 2";"Mid";"Big";"Yes";"Unknown";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Online form";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product B";"Seller 8";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Unimportant";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 10";"Mid";"Big";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product C";"Seller 1";"Mid";"Mid";"No";"Unknown";"No";"Yes";"No";"No";"No";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product D";"Seller 2";"Mid";"Big";"Yes";"Unknown";"No";"Unknown";"No";"No";"Yes";"Unknown";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product C";"Seller 9";"Mid";"Mid";"No";"Unknown";"No";"Unknown";"No";"No";"No";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product N";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product D";"Seller 2";"Low";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product C";"Seller 10";"Mid";"Mid";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product F";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product D";"Seller 2";"Low";"Big";"No";"Unknown";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product B";"Seller 1";"Mid";"Big";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 1";"Mid";"Big";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 8";"Mid";"Big";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Very important";"Yes";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product C";"Seller 1";"Mid";"Mid";"Yes";"No";"No";"Yes";"No";"Yes";"Yes";"Growth";"Neutral";"Referral";"New";"Few questions";"Very important";"No";"No";"Project";"Info gathering";"First deal";"Lost"
"Product D";"Seller 2";"Low";"Mid";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product D";"Seller 2";"Low";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product D";"Seller 2";"High";"Mid";"Yes";"Unknown";"No";"Yes";"No";"Yes";"Yes";"Growth";"Neutral";"Direct mail";"New";"Clear";"Unimportant";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product D";"Seller 2";"Mid";"Mid";"Yes";"Unknown";"No";"Yes";"No";"Yes";"No";"Stable";"Neutral";"Direct mail";"New";"Few questions";"Unimportant";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product F";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"Yes";"No";"No";"No";"Stable";"Yes";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 2";"High";"Big";"Yes";"Unknown";"No";"Yes";"No";"Yes";"Yes";"Growth";"Neutral";"Direct mail";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product D";"Seller 2";"Mid";"Big";"Yes";"Unknown";"No";"Unknown";"No";"No";"Yes";"Stable";"Neutral";"Direct mail";"New";"Clear";"Unimportant";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product D";"Seller 16";"Mid";"Mid";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product D";"Seller 2";"Low";"Mid";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product D";"Seller 1";"Mid";"Big";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Very important";"No";"No";"Solution";"Yes";"Strategic account";"Lost"
"Product F";"Seller 1";"Mid";"Mid";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Yes";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Won"
"Product B";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"Yes";"No";"Project";"Yes";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product A";"Seller 4";"Mid";"Big";"Yes";"No";"No";"Yes";"Yes";"No";"Yes";"Stable";"Neutral";"Media";"New";"Clear";"Very important";"No";"No";"Project";"Yes";"First deal";"Lost"
"Product B";"Seller 8";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product N";"Seller 1";"High";"Mid";"No";"No";"No";"No";"No";"No";"No";"Growth";"No";"Joint past";"Current";"Clear";"Unimportant";"No";"Yes";"Project";"Yes";"Bad client";"Won"
"Product A";"Seller 1";"High";"Small";"No";"No";"No";"No";"No";"No";"No";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product I";"Seller 1";"Mid";"Small";"No";"No";"No";"No";"No";"Yes";"Yes";"Growth";"Neutral";"Joint past";"Current";"Clear";"Average important";"Yes";"No";"Project";"Yes";"Normal";"Won"
"Product F";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"No";"No";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Lost"
"Product C";"Seller 9";"Mid";"Small";"Unknown";"No";"No";"No";"No";"No";"No";"Stable";"Neutral";"Joint past";"New";"Clear";"Unimportant";"No";"No";"Project";"Yes";"First deal";"Lost"
"Product D";"Seller 10";"Mid";"Big";"No";"Yes";"No";"No";"No";"No";"No";"Stable";"No";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product A";"Seller 11";"Mid";"Mid";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Media";"New";"Clear";"Very important";"No";"No";"Project";"Yes";"Strategic account";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Low";"Very important";"No";"Yes";"Project";"No";"Strategic account";"Won"
"Product D";"Seller 2";"Mid";"Mid";"Yes";"Unknown";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Online form";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product C";"Seller 12";"High";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product F";"Seller 1";"Mid";"Big";"Yes";"No";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"Yes";"No";"Project";"Yes";"Strategic account";"Won"
"Product A";"Seller 1";"High";"Small";"No";"No";"No";"No";"No";"No";"No";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product B";"Seller 1";"Mid";"Mid";"Yes";"No";"No";"Unknown";"No";"No";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"First deal";"Lost"
"Product C";"Seller 1";"Mid";"Small";"No";"No";"No";"No";"No";"Yes";"Yes";"Growth";"Yes";"Media";"New";"Few questions";"Very important";"No";"No";"Solution";"Yes";"Normal";"Won"
"Product B";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"No";"Stable";"Yes";"Joint past";"Current";"Low";"Very important";"No";"Yes";"Maintenance";"No";"Strategic account";"Won"
"Product D";"Seller 2";"Mid";"Mid";"Yes";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Unknown";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"Yes";"No";"Yes";"No";"No";"No";"Growth";"Yes";"Joint past";"Current";"Low";"Very important";"No";"Yes";"Maintenance";"No";"Strategic account";"Won"
"Product B";"Seller 1";"Mid";"Big";"Yes";"No";"Yes";"No";"No";"No";"Yes";"Growth";"Yes";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
